isbn,line_num,line_content
9791173479953,66,숨은 어휘 찾기-‘가제’는 집게를 가진 수중 생물?!
9791173479953,69,숨은 맞춤법 찾기 맷돌 VS 멧돌
9791173479953,72,숨은 사자성어 찾기-자나 깨나 잊지 못함
9791173479953,75,숨은 속담 찾기-마음먹었으면 바로 행동으로 옮기자!
9791173479953,77,슈뻘 국어 능력 시험
9791173479953,78,퀴즈 정답
9788991182226,1,PART.1 유비쿼터스 컴퓨팅 보안
9791194087014,3,스트레칭의 생리학
9791194087014,4,움직임의 해부학 12 / 동작의 종류 14 / 근육계통 16 / 근육 사슬과 근육군 18 / 근육의 작동 원리 20 / 뼈대계통 24 / 관절 28 / 신경계통 30 / 통증의 본질과 이론 32 / 움직임과 뇌의 기능 34 / 관절 가동 범위와 유연성 36 / 스트레칭의 종류 40 / 스트레칭의 효과와 이점 44 / 스트레칭과 건강 관리 48 / 부상 회복과 통증 완화를 위한 스트레칭 50 / 스트레칭과 건강한 노화 54 / 스트레칭을 하면 안 되는 경우
9791194087014,6,스트레칭 동작
9791194087014,7,스트레칭에 관한 소개
9791194087014,8,목과 척주 동작 64 / 목과 척주 스트레칭 66 / 리베이터 스트레칭 68 / 매뉴얼 서브옥시피털 스트레칭 69 / 스터노클라이도마스토이드 스트레칭 70 / 스케일린 스트레칭 72 / 캣 카우 스트레칭 74 / 쿼드라투스 룸보룸 스트레칭 76 / 차일드 포즈 78 / 코브라 자세 80 / 응용 동작 82 / 스탠딩 소래식 익스텐션 월 스트레칭 84 / 하프닐 소래식 로테이션 88 / 응용 동작 90 / 스탠딩 하프 문 92 / 스레드 더 니들 94 / 응용 동작
9791194087014,9,"어깨, 팔, 손 동작 98 / 어깨, 팔, 손 스트레칭 100 / 도어웨이 펙 스트레칭 102 / 응용 동작 104 / 플로어 에인절 106 / 리스트 익스텐션 108 / 리스트 플렉션 108 / 응용 동작 110 / 럼브리컬 스트레칭"
9791194087014,10,엉덩이 동작 114 / 엉덩이 스트레칭 116 / 쿼드러페드 록백 118 / 응용 동작 120 / 하프닐 힙 플렉서 록 122 / 응용 동작 124 / 갈런드 포즈 126 / 피겨 포 스트레칭 128 / 크로스 보디 글루트 스트레칭 130 / 피겨 포 힙 인터널 로테이션 스트레칭 132 / 하프닐 힙 플렉서 스트레칭 134 / 응용 동작 136 / 피전 스트레칭 138 / 월드 그레이티스트 스트레칭 140 / 팬케이크 스트레칭 142 / 해피 베이비 포즈 144 / 시티드 버터플라이 스트레칭 146 / 스탠딩 힙 서클 148 / 응용 동작
9791194087014,11,다리와 발 동작 152 / 다리와 발 스트레칭 154 / 스탠딩 쿼드 스트레칭 156 / 응용 동작 158 / 스태틱 햄스트링 스트레칭 160 / 응용 동작 162 / 개스트로크니미어스 스텝 스트레칭 164 / 개스트로크니미어스 월 스트레칭 166 / 응용 동작 168 / 닐링 토 플렉서 스트레칭 170 / 응용 동작
9791194087014,12,신경 가동성 동작 174 / 신경 가동성 스트레칭 176 / 레이디얼 너브 글라이드 178 / 응용 동작 180 / 사이애틱 너브 글라이드 182 / 응용동작 184 / 페머럴 너브 글라이드
9791194087014,14,스트레칭 루틴
9791194087014,15,스트레칭 루틴이란? 190 / 목과 어깨 루틴 192 / 척주 루틴 193 / 엉덩이와 무릎 루틴 194 / 발과 발목 루틴 195 / 전신 루틴 196 / 사무직 근로자를 위한 루틴 198 / 노인을 위한 루틴 199 / 걷기를 위한 루틴 200 / 달리기를 위한 루틴 201 / 자전거 타기를 위한 루틴 202 / 수영을 위한 루틴 203 / 근력 운동을 위한 루틴 204 / 운동 선수를 위한 루틴 205 / 구기 운동과 라켓 운동을 위한 루틴 206 / 무술 수련자를 위한 루틴
9788936480684,2,『정선 목민심서』를 내며
9788936480684,3,『역주 목민심서』 전면개정판을 내며
9788936480684,4,자서(自序)
9791166543593,2,AutoCAD 2023 소개 및 기본사항
9788964450543,1,개정판을 내면서
9791171020881,1,❚CHAPTER 1 연구방법론 기초
9791171020881,5,연구주제의 설정 ∙
9788998756703,3,워밍업
9788998756703,4,예제 소스와 참고 도서
9791162245262,1,이 책에 쏟아진 찬사
9791162245262,2,독자가 보내는 찬사
9791162245262,3,시리즈에 쏟아진 찬사
9791162245262,5,시리즈 만든이 소개
9788958621300,1,제1권 고전문학上 신화.민담.여행기
9788958621300,3,Ⅰ.신화의 상상력과 상징
9788991051546,2,기술사회학적 측면
9788991051546,3,c hapter 01 기계의 이미지 |
9788991051546,4,골렘(Golem) 이야기 |
9788991051546,5,피그말리온(Pygmalion) 신화 |
9788991051546,6,기계는 무엇인가 |
9788991051546,7,“기계-같은(machine-like)” |
9788991051546,8,기술은 세계를 이해하는 방식 |
9788991051546,9,의미의 프레임(Frame of Meaning) |
9788991051546,10,기술시스템 |
9788991051546,11,인공지능을 위한 의미의 프레임 |
9788991051546,12,c hapter 02 자동인형 이야기 |
9788991051546,13,"도시 공공 건축물, 시계탑 |"
9788991051546,14,기계주의(mechanism) |
9788991051546,15,"기계장치, 행동의 번역 |"
9788991051546,16,"체스 두는 기계인형, 투르크 |"
9788991051546,17,계몽 |
9788991051546,18,철학적 존재로서 자동인형 |
9788991051546,19,행동의 대체인가 |
9788991051546,20,c hapter 03 튜링 테스트(Turing Test) 논쟁 |
9788991051546,21,튜링 기계 |
9788991051546,22,“생각한다”란 무엇인가 |
9788991051546,23,튜링기계 비판 |
9788991051546,24,튜링 테스트 |
9788991051546,25,엘리자 프로그램 |
9788991051546,26,강한 인공지능 비판 |
9788991051546,27,"생각하는 기계, 인간을 돕다 |"
9788991051546,28,hapter 04 지식의 사회적 성격 |
9788991051546,29,"과학, 구성되는 지식 |"
9788991051546,30,고전물리학과 현대물리학의 대결 |
9788991051546,31,지식은 사회적 실천의 결과 |
9788991051546,32,실험자 회귀(experimenter's regress) |
9788991051546,33,튜링테스트의 사회적 성격 |
9788991051546,34,기계지능의 사회적 차원 |
9788991051546,35,지식의 사회적 구성문제가 인공지능문제에서 중요하게 언급되어야 하는 이유는
9788991051546,36,무엇인가? |
9788991051546,37,c hapter 05 SF와 인공지능(1) |
9788991051546,38,"최초의 SF 소설, 프랑켄슈타인 |"
9788991051546,39,아이 로봇 |
9788991051546,40,블레이드 러너 |
9788991051546,41,로봇 G |
9788991051546,42,c hapter 06 SF와 인공지능(2) |
9791198252081,4,활자의 작동 방식
9791198252081,5,우리가 읽는 방식
9791198252081,7,글자 사이
9791198252081,8,낱말 사이와 글줄 사이
9791198252081,10,단락 조판하기
9791198252081,11,미세 조정하기
9791198252081,13,결론
9788954613316,1,1권
9788954613316,2,애덤 어윙의 태평양 일지
9788954613316,3,제델헴에서 온 편지
9788954613316,4,반감기 - 첫번째 루이자 레이 미스터리
9788954613316,5,티머시 캐번디시의 치 떨리는 시련
9788954613316,6,손미~451의 오리즌
9788954613316,8,2권
9788954613316,9,슬로샤 나루터와 모든 일이 지나간 후
9788954613316,10,손미~451의 오리즌
9788954613316,11,티머시 캐번디시의 치 떨리는 시련
9788954613316,12,반감기 - 첫번째 루이자 레이 미스터리
9788954613316,13,제델헴에서 온 편지
9788954613316,14,애덤 어윙의 태평양 일지
9788989984009,1,2권
9788972832614,1,3판 추천글
9788972832614,2,1판 추천글
9788991268029,4,Ⅰ부 사실
9788931555318,1,Chapter
9788997235421,3,PartⅠ 필수 배경
9788954634182,2,정조의 홍재: 세상에서 가장 큰 서재
9788954634182,3,홍대용의 담헌: 유리창에서 만난 친구들
9788954634182,4,박지원의 연암산방: 웃음을 쓰다
9788954634182,5,유금의 기하실: 음악이 있는 과학자의 서재
9788954634182,6,"이덕무의 팔분당: 책 병풍, 책 이불"
9788954634182,7,유득공의 사서루: 임금이 내린 책
9788954634182,8,박제가의 정유각: 개혁을 꿈꾸다
9788954634182,9,조수삼의 이이엄: 가난한 시인의 서재
9788954634182,10,남공철의 이아당: 움직이는 글자로 찍은 책
9788954634182,11,정약용의 여유당: 조심스런 학자의 삶
9788954634182,12,"김한태의 자이열재: 나를 위한 서재, 우리를 위한 서재"
9788954634182,13,서형수의 필유당과 서유구의 자연경실: 위대한 유산
9788954634182,14,심상규의 가성각: 19세기 문화를 이끈 경화세족
9788954634182,15,신위의 소재: 소동파에 미치다
9788954634182,16,이정리의 실사구시재: 지식인이 현실을 구원하는 방식
9788954634182,17,김정희의 보담재와 완당: 스승을 기리는 집
9788954634182,18,초의의 일로향실: 차로 맺은 인연
9788954634182,19,황상의 일속산방: 세상에서 제일 작은 은자의 서재
9788954634182,20,조희룡의 백이연전전려: 백두 개의 벼루가 있는 집
9788954634182,21,이조묵의 보소재: 창조와 추종 사이
9788954634182,22,윤정현의 삼연재: 떠난 사람에 대한 기억
9788954634182,23,이상적의 해린서옥: 역관의 의리
9788954634182,24,조면호의 자지자부지서옥: 언제나 모른다는 것을 안다
9788954634182,25,전기와 유재소의 이초당: 아주 특별한 공동 서재
9788920048241,1,제 I 부 정보와 컴퓨터
9791158395377,1,[1부] 면접 준비
9791199449022,1,"AI 시대의 새로운 교양, 논리적 사고: AI가 대신할 수 없는 ‘판단하는 능력’을 키우는 법"
9788984325937,1,정보보호 연혁
9788984325937,2,2012년 정보보호 10대 이슈
9788984325937,4,제1편 총론
9788956991634,2,이 책을 읽기 전에 | 교사의 언어 습관은 학생들이 만들어갈
9788956991634,3,삶과 이어져 있다
9791170002062,2,요약문
9791162243077,5,동영상 강의 및 Q&A
9788984680753,1,시작. 블루엣(bluette)의 설치
9791192932194,2,직업 소개 : 정말 좋은 직업 분야인 데이터 분야를 소개합니다
9791171712441,5,*소맥이의 먹잘알 테스트
9791171712441,8,*숨은 그림 찾기
9791171712441,11,*소맥이의 편한 하루
9791171712441,14,*소맥거핀 인터뷰
9788931476804,1,[1권] 이론서
9788956660035,1,자료 구조의 개념
9788956660035,2,자료의 표현
9788956660035,3,알고리즘의 개요
9788998886813,1,PARTⅠ개관
9788971157220,1,본집
9788971157220,2,길 선생 정려를 지나면서ㆍ15
9788971157220,3,월영대에서ㆍ17
9788971157220,4,서당에서ㆍ18
9788971157220,5,태안에서 새벽에 거닐며 경명 형님이 그리워ㆍ19
9788971157220,6,청평산을 지나다가ㆍ20
9788971157220,7,독서당 뒷산에 올라 임형수에게ㆍ25
9788971157220,8,저물녘에 거닐며ㆍ26
9788971157220,9,황중거의 방장산유록에다ㆍ28
9788971157220,10,농암 선생께ㆍ29
9788971157220,11,반악의 전기를 읽고서ㆍ30
9788971157220,12,말 위에서ㆍ31
9788971157220,13,백운동 서원의 여러 학도들에게ㆍ32
9788971157220,14,퇴계에서ㆍ33
9788971157220,15,도연명의 시집에서 ‘집을 옮기고 지은 시’를 차운하여ㆍ34
9788971157220,16,도연명의 시집에서 ‘음주’ 이십 수를 화답하여ㆍ35
9788971157220,17,계당에서 우연히ㆍ38
9788971157220,18,화담집 뒤에다ㆍ40
9788971157220,19,붉은 복사꽃 아래에서 김계진에게ㆍ41
9788971157220,20,셋집에서 일찍 일어나ㆍ42
9788971157220,21,꿈속에서도 날 보고 싶어 시를 지었다는 제자 태수에게ㆍ43
9788971157220,22,용수사에서 농암 선생께ㆍ44
9788971157220,23,인간 세상의 참된 사내ㆍ45
9788971157220,24,도학을 강론하며ㆍ46
9788971157220,25,연말이라 집으로 돌아가는 제자들에게ㆍ47
9788971157220,26,서재에서ㆍ48
9788971157220,27,도산서당ㆍ49
9788971157220,28,언덕을 넘어 서당에 이르며ㆍ50
9788971157220,29,김을 빨리 맨다고 뿌리를 남겨서야ㆍ52
9788971157220,30,꿈속에 궁궐 들어가ㆍ53
9788971157220,31,용수사에서 글을 읽는 손자 안도에게ㆍ54
9788971157220,32,잘못된 책을 불태웠다는 소식을 듣고ㆍ55
9788971157220,33,역동서원이 이루어졌기에ㆍ56
9788971157220,34,말세의 학문들은ㆍ57
9788971157220,35,고향 서재에 작은 매화가 피었다기에ㆍ58
9788971157220,36,서울에서 내가 매화에게ㆍ59
9788971157220,37,매화가 나에게ㆍ60
9788971157220,38,도산 달밤에 매화를 읊어ㆍ61
9788971157220,40,외집
9788971157220,41,탁청정 주인이 내게 편지를 보냈는데 강고에 임시로 머물러 있다고 비웃는 내용이 있으므로 재미삼아 절구 두 수를 지어 주다ㆍ65
9788971157220,42,"조사경이 병 때문에 청량산으로 가자던 약속을 지키지 못하였기에, 금협지가 화답한 운으로 시를 지었다ㆍ67"
9788971157220,43,들못ㆍ69
9788971157220,44,김유지의 탁청정에 걸라고 시를 지어 부치다ㆍ70
9788971157220,45,율곡에게 지어 주다ㆍ72
9788971157220,46,산에서 나온 다음날 황중거에게 차운하여 답하다ㆍ74
9788971157220,47,계재에서 정자중에게 부치다ㆍ76
9788971157220,48,매화와 함께 시를 부치면서ㆍ77
9788971157220,49,신해년 이른 봄에ㆍ79
9788971157220,50,금문원의 심경 절구에 차운하다ㆍ83
9788971157220,51,조사경을 생각하며ㆍ85
9788971157220,52,정원의 매화ㆍ86
9788971157220,53,조사경에게 부치다ㆍ87
9788971157220,54,조사경이 부용봉을 읊은 여러 시에 차운하다ㆍ88
9788971157220,55,유이득이 그린 두 마리의 소 그림에 쓰다ㆍ91
9788971157220,56,한사형과 남시보의 시에 차운하여 답하다ㆍ92
9788971157220,57,계장에서 백강이 찾아온 것을 기뻐하다ㆍ93
9788971157220,59,별집
9788971157220,60,의령공의 삼우대ㆍ97
9788971157220,61,곤양에서 관포 어득강 선생이 지은 동주서원 열여섯 수의 절구에 차운하다ㆍ100
9788971157220,62,곤양에서 어관포 선생을 모시고 까치섬에 노닐다. 이 날 밀물과 썰물에 대해서 논하다ㆍ104
9788971157220,63,꿈 속에서 지은 시에 보태어 짓다ㆍ106
9788971157220,64,형님이 진휼경차관의 임무를 띠고 선산에 와서 성묘를 한다고 들었지만ㆍ108
9788971157220,65,전의현 남쪽을 가다가 산골에서 굶주린 사람들을 만나다ㆍ110
9788971157220,66,병으로 눕고 더위에 지쳐 금호자 임형수를 그리워하다가 책상 위에서 오산록을 집어 들어 읽고는 그 뒤에 쓰다ㆍ111
9788971157220,67,남경림이 원접사의 종사관이 되어 서쪽으로 가게 되었으므로 지어
9788971157220,69,주다ㆍ112
9788971157220,70,청심루에 묵다ㆍ114
9788971157220,71,꿈을 적다ㆍ114
9788971157220,72,양생론ㆍ116
9788971157220,73,선조의 묘에 술을 뿌려 제사지내며ㆍ119
9788971157220,74,한가롭게 지내며ㆍ121
9788971157220,75,임대수가 찾아와 시에 대하여 논함을 기뻐하다ㆍ124
9788971157220,76,한윤명이 내 글씨를 구하기에ㆍ129
9788971157220,77,남시보가 보내준 시를 받들어 답하다ㆍ133
9788971157220,79,속집
9788971157220,80,반궁ㆍ137
9788971157220,81,해바라기ㆍ138
9788971157220,82,만취당의 시를 차운하다ㆍ139
9788971157220,83,양지현 청감당에서 남경림의 운으로 짓다ㆍ140
9788971157220,84,우연히 읊다ㆍ141
9788971157220,85,또 의고시에 화운하다ㆍ142
9788971157220,86,양벽정에서 조계임의 시를 차운하다ㆍ144
9788971157220,87,사락정에 제하여 부치다ㆍ145
9788971157220,88,삼월 병중에 뜻을 말하다ㆍ149
9788971157220,89,절구ㆍ151
9788971157220,90,규암의 시에 차운하다ㆍ154
9788971157220,91,임사수가 서당에서 인상인을 데리고 와서 시권에다 시를 지어 달라고 청하니 세 수이다ㆍ156
9788971157220,92,관음원에서 비를 피하다ㆍ158
9788971157220,93,사인거사 노인보가 찾아왔기에 앞의 운을 써서 짓다ㆍ159
9788971157220,94,계장에서 우연히 쓰다ㆍ161
9788971157220,95,동암에서 뜻을 말하다ㆍ162
9788971157220,96,사물을 관조하다ㆍ163
9788971157220,97,황중거가 보내준 시에 차운하다ㆍ164
9788971157220,98,어제 농암선생을 뵙고 물러나와 느낀 바 있어 두 수를 짓다ㆍ165
9788971157220,99,동래 여조겸ㆍ167
9788971157220,100,상산 육구연ㆍ168
9788971157220,101,동짓달 열엿새에 눈이 오다ㆍ169
9788971157220,102,손자 아몽의 이름을 안도라 짓고는 절구 두 수를 지어 그 뜻을 보여주다ㆍ173
9788971157220,103,죽마 타고 같이 놀던 벗들ㆍ174
9788971157220,104,책을 읽고 보내온 조카의 시를 보고ㆍ175
9788971157220,107,퇴계의 생애와 시/윤기홍ㆍ179
9788971157220,109,原詩題目 찾아보기ㆍ185
9791124025208,1,"PWA의 기억, IndexedDB: 오프라인을 위한 영구 기억 저장소"
9791169211376,1,&lt1부&gt 프로그래밍 시작하기
9791143013842,1,AI와 비영리 조직의 만남
9791143005366,1,"왜, 데이터 윤리인가?"
9788965872306,1,빅데이터 분석 및 응용 학습모듈 개요
9788965872306,2,빅데이터 분석 및 응용 학습모듈 명세서
9788965872306,4,학습 1. 빅데이터의 이해
9788965872306,5,학습 2. 빅데이터의 분석기획
9788965872306,6,학습 3. 빅데이터의 수집
9788965872306,7,학습 4. 빅데이터의 저장
9788965872306,8,학습 5. 빅데이터의 처리
9788965872306,9,학습 6. 빅데이터의 분석용 데이터 탐색
9788965872306,10,학습 7. 통계기반 빅데이터 분석
9788965872306,11,학습 8. 머신러닝 기반의 빅데이터 분석
9788965872306,12,학습 9. 텍스트마이닝 기반의 빅데이터 분석
9788965872306,13,학습 10. 빅데이터의 시각화
9788965872306,14,학습 11. 빅데이터의 비즈니스 모델과 활용전략
9788965872306,15,학습 12. 빅데이터의 플랫폼과 관리
9788965872306,16,학습 13. 빅데이터의 보안분석
9788965872306,17,학습 14. 빅데이터으 융합
9791193926246,3,추천 서문
9788954646642,1,여자는 총을 들고 기다린다
9788954646642,2,"역사적 출어와 참고 문헌, 감사의 말"
9788971157237,2,화석정에서ㆍ13
9788971157237,3,우연히 흥이 나다ㆍ14
9788971157237,4,동문을 나서면서ㆍ15
9788971157237,5,도중에서ㆍ17
9788971157237,6,보개산을 바라보며ㆍ19
9788971157237,7,산 속에서ㆍ20
9788971157237,8,풍악산에서 작은 암자에 있는 늙은 스님에게ㆍ21
9788971157237,9,풍악산에서 본 대로 쓰다ㆍ24
9788971157237,10,송라암ㆍ29
9788971157237,11,보응 스님과 함께 산에서 내려와ㆍ30
9788971157237,12,산 속에서 네 수를 읊다ㆍ31
9788971157237,13,우연히 시를 짓다ㆍ33
9788971157237,14,등불 아래서 글을 보며ㆍ34
9788971157237,15,배천 시냇가에서 달빛에 술잔을 기울이며ㆍ35
9788971157237,16,굽은 길에다 말을 세우고 가야산을 되돌아보며ㆍ36
9788971157237,17,석천의 시에 차운하다ㆍ37
9788971157237,18,성산에서 강릉을 향하여 가다ㆍ39
9788971157237,19,예안을 지나다가 퇴계 이 선생을 뵙고 율시를 바치다ㆍ40
9788971157237,20,국화 꽃잎을 술잔에 띄우고ㆍ42
9788971157237,21,강복사의 석불ㆍ43
9788971157237,22,시를 재촉하는 비ㆍ44
9788971157237,23,옥계동에 들어갔다가ㆍ45
9788971157237,24,고산 황기로의 죽음을 슬퍼하며ㆍ46
9788971157237,25,청송 선생의 은거를 찾아가서ㆍ47
9788971157237,26,개천으로 돌아가는 토정 이지함을 송별하다ㆍ48
9788971157237,27,상산동에서ㆍ49
9788971157237,28,청송 선생을 곡하다ㆍ50
9788971157237,29,오원역에 쓰다ㆍ51
9788971157237,30,하수에 이르러 탄식하다ㆍ53
9788971157237,31,연경 가는 길에서 아우에게 부치다ㆍ55
9788971157237,32,늙은 스님의 시축에 쓰다ㆍ57
9788971157237,33,유명 스님이 매우 귀찮게 시를 지어 달라고 하므로 붓 가는 대로 써서 주다ㆍ58
9788971157237,34,금강연ㆍ59
9788971157237,35,다시 월정사에서 노닐다ㆍ60
9788971157237,36,내산에 들어가려다 비를 만나고ㆍ61
9788971157237,37,산인에게ㆍ62
9788971157237,38,산인의 시축에 차운하다ㆍ63
9788971157237,39,다시 풍악산에서 노닐고 내산으로 들어가려다 비를 만나다ㆍ64
9788971157237,40,산인 설의에게ㆍ65
9788971157237,41,상산동을 지나가다가 갑자기 옛일이 생각나서 느낀 대로 짓다ㆍ66
9788971157237,42,어떤 스님이 시를 지어 달라고 하기에 퇴계의 시에 차운하다ㆍ67
9788971157237,43,심장원에게 주다ㆍ68
9788971157237,46,정철이 약속을 해 놓고도 집에 있지 않아서ㆍ71
9788971157237,47,구월 보름밤에 달을 보고ㆍ72
9788971157237,48,퇴계 선생의 죽음을 슬퍼하며ㆍ73
9788971157237,49,의령감 윤조의 죽음을 슬퍼하며ㆍ74
9788971157237,50,퇴직을 간청하여 허락받고 임금 은혜에 감동하여ㆍ76
9788971157237,51,세 번이나 상소한 뒤에 물러나길 허락받고서ㆍ79
9788971157237,52,황해도 관찰사로 나가면서 안뇌경이 보내온 시에 화답하다ㆍ80
9788971157237,53,달밤에 옛 친구가 쟁을 켜는 소리를 듣고서ㆍ81
9788971157237,54,김장생이 석담에 찾아와 글을 배우다가 평양으로 돌아간다기에 시를 지어서 주다ㆍ83
9788971157237,55,인감 스님이 시를 지어 달라고 하기에ㆍ84
9788971157237,56,사암 상공께 올리다ㆍ85
9788971157237,57,유월 가뭄을 걱정하면서ㆍ86
9788971157237,58,비 온 뒤에 송대립이 보낸 시에 차운하다ㆍ87
9788971157237,59,허봉이 찾아왔기에 시를 지어주다ㆍ88
9788971157237,60,배 안에서 남산을 바라보며ㆍ90
9788971157237,61,눈 속에 소를 타고 성혼을 찾아갔다가ㆍ91
9788971157237,62,조각배에다 거문고를 실었지만ㆍ92
9788971157237,63,노랫소리를 들으면서ㆍ93
9788971157237,64,한데 앉아 달빛에 술을 마시다ㆍ94
9788971157237,65,소리꾼 벽도가 흥을 돋구어ㆍ95
9788971157237,66,호연정 술자리에서 운수 스님에게 지어 주다ㆍ96
9788971157237,67,세상맛이 물보다 싱거우니ㆍ97
9788971157237,68,스님에게 주다ㆍ98
9788971157237,69,은병정사의 학도들에게 부치다ㆍ99
9788971157237,70,큰형수의 죽음을 슬퍼하며ㆍ100
9788971157237,71,서울을 떠나 해주로 내려가며ㆍ103
9788971157237,74,강릉으로 귀성하는 장윤을 보내면서ㆍ107
9788971157237,75,청감당에서 중온의 시에 차운하여ㆍ108
9788971157237,76,아버님의 삼년상을 마치고 형님과 헤어지며ㆍ109
9788971157237,77,강을 건너는 항량을 보내며ㆍ111
9788971157237,78,대화 가는 길에서ㆍ115
9788971157237,79,보산역에 쓰다ㆍ118
9788971157237,80,국화를 심다ㆍ119
9788971157237,81,회원관 벽에서 장인의 필적을 보고 서글픈 느낌이 들다ㆍ120
9788971157237,82,인정과 법은 나란히 하기 어려워ㆍ121
9788971157237,83,고향으로 가는 길에ㆍ122
9788971157237,84,눈을 씹으며ㆍ123
9788971157237,85,스님의 두루마리에 차운하다ㆍ124
9788971157237,86,경혼에게 주다ㆍ125
9788971157237,87,최황의 시에 차운하여 헤어지는 마음을 말하다ㆍ126
9788971157237,88,고향 시골집에서 아우와 헤어지다ㆍ128
9788971157237,89,승지 정유일을 곡하다ㆍ129
9788971157237,90,천연스님에게 지어 주다ㆍ130
9788971157237,93,율곡의 생애와 시/윤기홍ㆍ135
9788971157237,95,原詩題目 찾아보기ㆍ142
9791170800491,1,작가의 말 _ 이도의 대화법이 내 인생을 바꿔 놓았다
9791170800491,3,"내가 조선의 왕이 되었다(1418년, 22세, 즉위년) / 새로운 시대를 열어가겠다(1419년, 23세, 재위 1년) / 먼저 사람에게 묻고 제도를 갖추겠다 / 아버지의 가르침, 국방이 최우선 / 하늘 아래 고아, 이도 / 하늘이 나를 버린 것인가(1423년, 27세, 재위 5년) /"
9791170800491,5,건전한 조직문화는 있는 그대로를 전하는 것 / 외교는 큰 것을 얻기 위해 쌓는 정성 /
9791170800491,6,"밥은 사람의 하늘이다 / 중국 새 황제의 무리한 요구 / 사람이 꼭 지키며 살아야 하는, 도리(1428년, 32살, 재위 10년)"
9791170800491,8,경험이 쌓이면서 해결되는 문제들 / 조직을 공평하고 바르게 성장시키는 왕의 기술
9791170800491,9,"태평한 날에 내일을 준비하는 사람은 모두 왕이다/ 금수저인 양반과 흙수저인 국민으로 나뉜 세상 / 비로소 왕의 생각을 읽어가는 신하들(1433년, 37살, 재위 15년)"
9791170800491,11,국제정세의 변화 속에 탄생한 위대한 발명품 / 혼란의 끝은 시스템이 작동하는 세상
